year,audio_feature,value
2017,liveness,0.14019693877551018
2018,liveness,0.15365757575757574
2019,liveness,0.152650505050505
2020,liveness,0.1893252525252526
2021,liveness,0.1803919191919191
1971,valence,0.6916813186813185
1972,valence,0.6587659574468087
1973,valence,0.6977282608695653
1974,valence,0.6731709677419354
1975,valence,0.6522604166666667
1976,valence,0.7004270833333334
1977,valence,0.6188315217391305
1978,valence,0.6270885416666668
1979,valence,0.7077967391304346
1980,valence,0.6439322222222222
1981,valence,0.590003092783505
1982,valence,0.6517278350515466
1983,valence,0.6358484536082473
1984,valence,0.6948021052631577
1985,valence,0.6762187500000002
1986,valence,0.6601329787234044
1987,valence,0.6417291666666667
1988,valence,0.6342747252747252
1989,valence,0.5818723404255319
1990,valence,0.6133308510638298
1991,valence,0.5994359550561799
1992,valence,0.5627852631578949
1993,valence,0.541945652173913
1994,valence,0.5336021505376344
1995,valence,0.5460666666666667
1996,valence,0.5944782608695653
1997,valence,0.5427022222222223
1998,valence,0.5531747126436782
1999,valence,0.5487500000000001
2000,valence,0.6113926315789472
2001,valence,0.5778860215053763
2002,valence,0.5946795698924731
2003,valence,0.597814736842105
2004,valence,0.583358947368421
2005,valence,0.5492604166666665
2006,valence,0.5554020618556702
2007,valence,0.573627659574468
2008,valence,0.5193704081632654
2009,valence,0.5332680412371135
2010,valence,0.5514791666666667
2011,valence,0.5334648936170212
2012,valence,0.5595
2013,valence,0.5212635416666667
2014,valence,0.523461
2015,valence,0.5009999999999999
2016,valence,0.45542828282828307
2017,valence,0.5046948979591835
2018,valence,0.4511757575757574
2019,valence,0.47741111111111134
2020,valence,0.48836060606060616
2021,valence,0.4911161616161614
1971,tempo,117.29919780219781
1972,tempo,118.65194680851059
1973,tempo,122.1631195652174
1974,tempo,118.11118279569897
1975,tempo,115.67702083333332
1976,tempo,118.19476041666663
1977,tempo,119.69248913043481
1978,tempo,114.64564583333333
1979,tempo,120.52561956521737
1980,tempo,125.50578888888893
1981,tempo,119.95719587628862
1982,tempo,124.47694845360822
1983,tempo,120.96389690721647
1984,tempo,123.8299789473684
1985,tempo,116.97994791666667
1986,tempo,117.0349574468085
1987,tempo,121.97784374999998
1988,tempo,118.41380219780217
1989,tempo,120.69128723404248
1990,tempo,116.90764893617026
1991,tempo,118.49306741573038
1992,tempo,121.17605263157895
1993,tempo,113.3566304347826
1994,tempo,120.23049462365591
1995,tempo,117.17181720430112
1996,tempo,115.0378043478261
1997,tempo,118.37765555555555
1998,tempo,120.85239080459768
1999,tempo,111.78286956521733
2000,tempo,119.00265263157891
2001,tempo,115.56724731182798
2002,tempo,117.26194623655915
2003,tempo,115.44986315789477
2004,tempo,117.14853684210526
2005,tempo,114.29834375
2006,tempo,116.51632989690727
2007,tempo,119.09663829787239
2008,tempo,121.80433673469386
2009,tempo,127.50423711340204
2010,tempo,116.77966666666669
2011,tempo,127.52452127659575
2012,tempo,126.82104081632656
2013,tempo,119.27035416666666
2014,tempo,120.36252999999994
2015,tempo,121.93126262626262
2016,tempo,120.87162626262625
2017,tempo,119.46846938775508
2018,tempo,119.9851818181818
2019,tempo,118.74523232323233
2020,tempo,119.58676767676766
2021,tempo,118.1648383838384
1971,duration_ms,210955.63736263735
1972,duration_ms,214877.96808510637
1973,duration_ms,253062.39130434784
1974,duration_ms,239999.13978494622
1975,duration_ms,230228.35416666666
1976,duration_ms,251370.8125
1977,duration_ms,240172.40217391305
1978,duration_ms,260018.09375
1979,duration_ms,258410.20652173914
1980,duration_ms,250194.9111111111
1981,duration_ms,241924.0824742268
1982,duration_ms,233440.7525773196
1983,duration_ms,257604.40206185568
1984,duration_ms,255905.91578947369
1985,duration_ms,267147.875
1986,duration_ms,271451.91489361704
1987,duration_ms,260193.14583333334
1988,duration_ms,263230.71428571426
1989,duration_ms,269676.6489361702
1990,duration_ms,277649.829787234
1991,duration_ms,264616.8764044944
1992,duration_ms,279446.07368421054
1993,duration_ms,267325.52173913043
1994,duration_ms,269957.40860215056
1995,duration_ms,268296.9784946237
1996,duration_ms,269340.35869565216
1997,duration_ms,261979.02222222224
1998,duration_ms,261809.2988505747
1999,duration_ms,254451.14130434784
2000,duration_ms,247451.56842105262
2001,duration_ms,244114.2688172043
2002,duration_ms,251729.5376344086
2003,duration_ms,253294.28421052633
2004,duration_ms,246863.63157894736
2005,duration_ms,237294.80208333334
2006,duration_ms,235627.69072164947
2007,duration_ms,245844.2659574468
2008,duration_ms,234957.67346938775
2009,duration_ms,241865.51546391752
2010,duration_ms,228390.78125
2011,duration_ms,233627.1489361702
2012,duration_ms,223783.6224489796
2013,duration_ms,230852.63541666666
2014,duration_ms,230830.0
2015,duration_ms,219230.38383838383
2016,duration_ms,222633.65656565657
2017,duration_ms,223494.79591836734
2018,duration_ms,212356.55555555556
2019,duration_ms,193674.56565656565
2020,duration_ms,196458.7373737374
2021,duration_ms,193951.33333333334
1971,time_signature,3.9450549450549453
1972,time_signature,3.9468085106382977
1973,time_signature,3.9130434782608696
1974,time_signature,3.935483870967742
1975,time_signature,3.9583333333333335
1976,time_signature,3.9583333333333335
1977,time_signature,3.9239130434782608
1978,time_signature,3.9479166666666665
1979,time_signature,3.989130434782609
1980,time_signature,3.966666666666667
1981,time_signature,3.9690721649484537
1982,time_signature,3.9690721649484537
1983,time_signature,4.010309278350515
1984,time_signature,3.9894736842105263
1985,time_signature,3.9895833333333335
1986,time_signature,4.0
1987,time_signature,4.0
1988,time_signature,3.978021978021978
1989,time_signature,3.978723404255319
